ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
4927855,06/23/2004 02:07:45 AM,NARCOTICS,POSS: CRACK,True,False,712.0,7.0,16.0,,
3395528,06/23/2004 02:40:00 PM,BATTERY,SIMPLE,False,False,723.0,7.0,6.0,41.774335808,-87.641839413
2762,06/23/2004 02:45:00 PM,HOMICIDE,FIRST DEGREE MURDER,False,False,814.0,8.0,23.0,41.810506188,-87.753008921
3395669,06/23/2004 04:40:00 AM,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,False,False,422.0,4.0,7.0,41.749873967,-87.552860394
3396552,06/23/2004 06:36:44 PM,CRIMINAL DAMAGE,TO PROPERTY,False,False,1531.0,15.0,37.0,41.899370072,-87.754478747
10992884,06/23/2004 07:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,1422.0,14.0,26.0,,
3398427,06/23/2004 07:15:00 PM,THEFT,$500 AND UNDER,False,False,623.0,6.0,6.0,41.757864985,-87.61991931
3404368,06/23/2004 07:40:00 PM,PUBLIC PEACE VIOLATION,OTHER VIOLATION,True,False,1112.0,11.0,27.0,41.895447368,-87.717839515
3396571,06/23/2004 07:56:17 PM,CRIMINAL DAMAGE,TO PROPERTY,False,False,321.0,3.0,5.0,41.774264317,-87.598492894
3398431,06/23/2004 08:00:00 AM,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,False,False,2234.0,22.0,34.0,41.690391438,-87.662923799
3397759,06/23/2004 08:00:00 PM,CRIMINAL DAMAGE,TO VEHICLE,False,False,1323.0,12.0,27.0,41.892257156,-87.646911879
3408755,06/23/2004 08:07:34 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,True,False,324.0,3.0,5.0,41.761720809,-87.598166867
3395540,06/23/2004 09:00:00 AM,THEFT,$500 AND UNDER,False,False,1121.0,11.0,26.0,41.90012665,-87.707748266
3395310,06/23/2004 09:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,False,False,1823.0,18.0,27.0,41.898158786,-87.637588738
3398063,06/23/2004 09:00:00 PM,ASSAULT,SIMPLE,False,False,511.0,5.0,8.0,41.71070007,-87.598393245
3397208,06/23/2004 09:30:00 AM,THEFT,OVER $500,False,False,533.0,5.0,9.0,41.657278134,-87.616086665
3395633,06/23/2004 10:00:00 PM,THEFT,OVER $500,False,False,1722.0,17.0,39.0,41.965792745,-87.734955942
3455102,06/23/2004 11:26:12 AM,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,True,False,324.0,3.0,5.0,41.761720809,-87.598166867
